card_id,subject_id,subject_name,folder_name,field,locale,base_value,correct_locale_value,localized_value,diff_type
03616a16-041f-4522-b0f9-1456485673c5,010fcb98-bc64-48a3-a9ae-7230e8717517,Unusual Musical Instruments,Music,answer,ar,Dizi,Dizi,ديزي,mismatch
03616a16-041f-4522-b0f9-1456485673c5,010fcb98-bc64-48a3-a9ae-7230e8717517,Unusual Musical Instruments,Music,answer,bg,Dizi,Dizi,Дизи,mismatch
03616a16-041f-4522-b0f9-1456485673c5,010fcb98-bc64-48a3-a9ae-7230e8717517,Unusual Musical Instruments,Music,answer,el,Dizi,Dizi,Ντίζι,mismatch
03616a16-041f-4522-b0f9-1456485673c5,010fcb98-bc64-48a3-a9ae-7230e8717517,Unusual Musical Instruments,Music,answer,hi,Dizi,Dizi,डिजी,mismatch
03616a16-041f-4522-b0f9-1456485673c5,010fcb98-bc64-48a3-a9ae-7230e8717517,Unusual Musical Instruments,Music,answer,ja,Dizi,Dizi,ディジ,mismatch
03616a16-041f-4522-b0f9-1456485673c5,010fcb98-bc64-48a3-a9ae-7230e8717517,Unusual Musical Instruments,Music,answer,ko,Dizi,Dizi,디지,mismatch
03616a16-041f-4522-b0f9-1456485673c5,010fcb98-bc64-48a3-a9ae-7230e8717517,Unusual Musical Instruments,Music,answer,uk,Dizi,Dizi,Дізі,mismatch
03616a16-041f-4522-b0f9-1456485673c5,010fcb98-bc64-48a3-a9ae-7230e8717517,Unusual Musical Instruments,Music,answer,vi,Dizi,Dizi,Địch tử,mismatch
03616a16-041f-4522-b0f9-1456485673c5,010fcb98-bc64-48a3-a9ae-7230e8717517,Unusual Musical Instruments,Music,answer,zh,Dizi,Dizi,笛子,mismatch
0eccd7cc-85f1-4b07-bc1e-ad1d92066f18,010fcb98-bc64-48a3-a9ae-7230e8717517,Unusual Musical Instruments,Music,answer,ar,Shipibo Shaker,Shipibo Shaker,شيبيبو شاكر,mismatch
0eccd7cc-85f1-4b07-bc1e-ad1d92066f18,010fcb98-bc64-48a3-a9ae-7230e8717517,Unusual Musical Instruments,Music,answer,bg,Shipibo Shaker,Shipibo Shaker,Шипибо Шейкър,mismatch
0eccd7cc-85f1-4b07-bc1e-ad1d92066f18,010fcb98-bc64-48a3-a9ae-7230e8717517,Unusual Musical Instruments,Music,answer,de,Shipibo Shaker,Shipibo Shaker,Shipibo-Shaker,mismatch
0eccd7cc-85f1-4b07-bc1e-ad1d92066f18,010fcb98-bc64-48a3-a9ae-7230e8717517,Unusual Musical Instruments,Music,answer,es,Shipibo Shaker,Shipibo Shaker,Coctelera Shipibo,mismatch
