card_id,field,locale,old_value,new_value
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,ga,Select the correct shape:,Cén cruth atá air seo?
45b26e9d-dc67-4f36-b73b-10df6a1bf363,prompt,ga,Select the correct shape:,Cén cruth atá air seo?
7c37dba3-e5ee-48e8-a06a-31443d22d84e,prompt,ga,Select the correct shape:,Cén cruth atá air seo?
fc66ae78-bba8-4059-b8d9-d2ce379d1174,prompt,ga,Select the correct shape:,Cén cruth atá air seo?
fc66ae78-bba8-4059-b8d9-d2ce379d1174,answer,ga,Diamond,Rombas
47b6b7cf-0f78-497d-a2ef-e4201deda7d3,prompt,ga,Select the correct shape:,Cén cruth atá air seo?
1baa7974-bb98-4011-9d6c-6f5223ae98b3,prompt,ga,Select the correct shape:,Cén cruth atá air seo?
970f8dcc-fa84-4124-aa7b-5541bdafdaab,prompt,ga,Select the correct shape:,Cén cruth atá air seo?
f423fe33-417c-41f7-a958-7d188705dd1e,prompt,ga,Select the correct shape:,Cén cruth atá air seo?
6c3a5c1f-437f-4084-85d7-6c0c1de94c99,prompt,ga,Select the correct shape:,Cén cruth atá air seo?
71e1df0a-65f2-4e81-9957-1d3f01337f0c,prompt,ga,Select the correct shape:,Cén cruth atá air seo?
6ea9d92d-8764-4350-ad7b-91b7f99f2158,prompt,ga,Select the correct shape:,Cén cruth atá air seo?
331c4fc1-cb14-4efb-9930-1cbc368c4c9d,prompt,ga,Select the correct shape:,Cén cruth atá air seo?
e8b5d24b-d486-46c2-9e57-ebea2fbf2568,prompt,ga,Select the correct shape:,Cén cruth atá air seo?
