card_id,field,locale,global_text,current_text,translated_text,status
SUBJECT,subject_name,ar,Shapes 3D,أشكال ثلاثية الأبعاد,الأشكال 3D,mismatch
SUBJECT,subject_name,da,Shapes 3D,3D-former,Former 3D,mismatch
SUBJECT,subject_name,cs,Shapes 3D,3D tvary,Tvary 3D,mismatch
SUBJECT,subject_name,el,Shapes 3D,3D σχήματα,Σχήματα 3D,mismatch
SUBJECT,subject_name,de,Shapes 3D,3D-Formen,Formen 3D,mismatch
SUBJECT,subject_name,bg,Shapes 3D,3D фигури,Форми 3D,mismatch
SUBJECT,subject_name,et,Shapes 3D,3D kujundid,Kujundid 3D,mismatch
SUBJECT,subject_name,fi,Shapes 3D,3D-muodot,Muodot 3D,mismatch
SUBJECT,subject_name,hr,Shapes 3D,3D oblici,Oblici 3D,mismatch
SUBJECT,subject_name,hu,Shapes 3D,3D alakzatok,3D formák,mismatch
SUBJECT,subject_name,ko,Shapes 3D,3D 도형,3D 모양,mismatch
SUBJECT,subject_name,hi,Shapes 3D,3D आकृतियाँ,आकृतियाँ 3डी,mismatch
SUBJECT,subject_name,lt,Shapes 3D,3D formos,Formos 3D,mismatch
SUBJECT,subject_name,lv,Shapes 3D,3D formas,Formas 3D,mismatch
SUBJECT,subject_name,ja,Shapes 3D,3D図形,3D 形状,mismatch
SUBJECT,subject_name,nl,Shapes 3D,3D-vormen,Vormen 3D,mismatch
SUBJECT,subject_name,sl,Shapes 3D,3D liki,Oblike 3D,mismatch
SUBJECT,subject_name,sk,Shapes 3D,3D tvary,Tvary 3D,mismatch
SUBJECT,subject_name,tr,Shapes 3D,3D Şekiller,3 boyutlu şekiller,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,answer,ar,Cylinder,أسطوانة,اسطوانة,mismatch
SUBJECT,subject_name,tl,Shapes 3D,Mga Hugis 3D,Hugis 3D,mismatch
SUBJECT,subject_name,sv,Shapes 3D,3D-former,Former 3D,mismatch
SUBJECT,subject_name,uk,Shapes 3D,3D фігури,Форми 3D,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,answer,hi,Cylinder,बेलन,सिलेंडर,mismatch
SUBJECT,subject_name,vi,Shapes 3D,Hình 3D,Hình dạng 3D,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,answer,ga,Cylinder,Cylinder,Sorcóir,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,answer,hr,Cylinder,Valjak,Cilindar,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,answer,ja,Cylinder,円柱,シリンダー,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,answer,fi,Cylinder,Lieriö,Sylinteri,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,answer,ko,Cylinder,원기둥,실린더,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,answer,pl,Cylinder,Walec,Cylinder,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,answer,sl,Cylinder,Valj,Cilinder,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,answer,vi,Cylinder,Hình trụ,Xi lanh,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,bg,What shape is this?,Каква е тази форма?,Каква форма е това?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,cs,What shape is this?,Jaký je to tvar?,Co je to za tvar?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,de,What shape is this?,Welche Form ist das?,Welche Form hat das?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,et,What shape is this?,Mis kujund see on?,Mis kujuga see on?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,fr,What shape is this?,Quelle est cette forme ?,De quelle forme s'agit-il ?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,ga,What shape is this?,Select the correct 3D shape:,Cén cruth atá air seo?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,ar,What shape is this?,ما هذا الشكل؟,ما هو هذا الشكل؟,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,hr,What shape is this?,Koji je ovo oblik?,Kakav je ovo oblik?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,hi,What shape is this?,यह कौन सा आकार है?,यह कौन सी आकृति है?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,hu,What shape is this?,Milyen alakzat ez?,Milyen forma ez?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,ko,What shape is this?,이것은 무슨 모양입니까?,이건 무슨 모양인가요?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,ja,What shape is this?,これはどんな形ですか？,これは何の形ですか？,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,lv,What shape is this?,Kāda šī ir forma?,Kāda šī forma ir?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,lt,What shape is this?,Kokia tai forma?,Kokia čia forma?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,pt,What shape is this?,Que forma é esta?,Que formato é esse?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,sk,What shape is this?,Aký je to tvar?,Čo je to za tvar?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,sl,What shape is this?,Kakšne oblike je to?,Kakšna oblika je to?,mismatch
acb0efea-6311-4bf5-a6e2-42ebc6c94fdc,prompt,tr,What shape is this?,Bu hangi şekil?,Bu nasıl bir şekil?,mismatch
